Organisation,Adresse,Webseite,E-Mail,Telefonnummer,Stellenangebote,Foerderbedarfe,Profil,Wirkunskreise,Stellenangebote_Beschreibung,Veranstaltungen_Beschreibung,Foto,Film
Wildfrieden e.V.,"Schaalseeweg 40 
 23883 Salem",,'247'@'wildfrieden.org',015115617130,['Ehrenamt'],"['Geldspende', 'Sachspende', 'Zeitspende', 'Kooperation', 'Netzwerkpartner', 'Sponsor']","Wir haben uns zum Ziel gesetzt, geflüchteten Menschen aus der Ukraine Schutz und Sicherheit zu geben. Unsere Arbeit soll vor allem Müttern und Kindern zugute kommen.
Wir wollen diese Menschen in der schwierigen Zeit ganzheitlich und nachhaltig unterstützen. Das Projekt ist als qualifizierte Notfallhilfe und als umfassende Versorgung und Integrationsförderung organisiert. 
","



Haus Wildfrieden
Das ist die neue Bestimmung einer ehemaligen Herberge in Dargow. Auf der 1200 qm großen Fläche mit bestehenden Gästezimmern, Sanitäranlagen, Aufenthaltsräumen, einer Großküche und Speisesaal soll ein Ort der Zuflucht entstehen - schnell, pragmatisch, gut und ganzheitlich.




","Perspektiven
Auch langfristig gilt es, Haus Wildfrieden zu einem qualifizierten Ankerpunkt zu etablieren. Wildfrieden soll hilfesuchenden Flüchtlingen Geborgenheit und eine sichere Perspektive bieten.
Das wollen wir über Spenden und öffentliche Förderung finanzieren. Wir stoßen derzeit auf großes Engagement, können uns aber nicht dauerhaft auf Ehrenämter verlassen.
Kontinuierliche Arbeit mit Menschen bedeutet für uns immer auch MEHR als die Versorgung rein körperlicher Bedürfnisse. Wir wollen die Bewohner von Haus Wildfrieden kulturell integrieren und besonders die Kinder in ihrer Entwicklung nicht allein lassen. Dafür brauchen wir Lehrer, Musikpädagogen, Sprachförderung, Sportmöglichkeiten, kulturelle und kreative Angebote. Und viele weitere Menschen, die an Wildfrieden glauben und mithelfen wollen.
",,"['https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-Titel-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-03-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-02-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-04-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-05-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-06-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-07-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-08-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-09-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/03/Wildfrieden-10-1024x576.jpg']",Watch the films here: https://edelmut.org/organisationen/wildfrieden-e-v/#video
Deutsche Stiftung für Engagement und Ehrenamt,"Woldegker Chaussee 35 
 17235 Neustrelitz",https://d-s-e-e.de/,,,,,"Die Deutsche Stiftung für Engagement und Ehrenamt (DSEE) hat im Juli 2020 ihre Arbeit in Neustrelitz aufgenommen. Damit gibt es erstmals eine bundesweit tätige Anlaufstelle zur Förderung ehrenamtlichen Engagements. Die Gründung der Bundesstiftung selbst ist ein zentrales Ergebnis der Kommission „Gleichwertige Lebensverhältnisse“ und ein gemeinsames Vorhaben des Bundesministeriums für Familie, Senioren, Frauen und Jugend, des Bundesministeriums des Innern und für Heimat und des Bundesministeriums für Ernährung und Landwirtschaft.
Ziel der Stiftung ist es, insbesondere in diesen Landesteilen das Ehrenamt nachhaltig zu stärken – in Abstimmung mit bereits bestehenden Bundesprogrammen. Sie ist die erste zentrale Anlaufstelle, die bundesweit ehrenamtlich Engagierte unterstützt.
",,,,['https://edelmut.org/wp-content/uploads/2022/03/Logo_DSEE.png'],
MUT Academy gGmbH,"Valentinskamp 45a 
 20355 Hamburg",https://mutacademy.de/,,015156311935,,,"Wir machen Jugendlichen Mut, den Übergang von der Schule in den Beruf zu schaffen.
Wir begleiten Jugendliche im letzten Schuljahr beim Übergang von der Schule in die Berufsausbildung.
Das Programm mit fünftägigen MUT Camps, Teambuildings, Workshops und persönlicher Begleitung in die Ausbildung hinein, eröffnet Perspektiven und macht MUT, den individuell passenden Weg zu finden.
",,,https://edelmut.org/veranstaltungen/mutiger-bewerbungsmarathon/,"['https://edelmut.org/wp-content/uploads/2022/02/DSC_0394-Kopie-1024x661.jpg', 'https://edelmut.org/wp-content/uploads/2022/02/IMG_7004-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/02/MUT-Bewerbungsmarathon-1024x684.jpg']",
Schaukelpferd e.V.,"Am Egelsee 2 
 76297 Blankenloch",https://www.schaukelpferd.name,,072449499999,,,"Mit unserem Vereinsprojekt werden direkt besonders hilfsbedürftige Kinder und ihre Familien in Varna, Bulgarien nachhaltig unterstützt. Insbesondere die medizinische Vorsorge, eine regelmäßige und gesunde Nahrungsversorgung, die soziale Teilhabe sowie persönliche Entfaltungsmöglichkeiten werden durch die Unterstützung gewährleistet. So werden Nahrungsmittel und Bekleidung zur Verfügung gestellt. Bei Krankheiten wird ein Arztbesuch und die anschließende Behandlung ermöglicht. Zusätzlich ermöglichen wir den Kindern an privaten Kursen, z.B. Mal-, Sprach-, Fahrschul- und Tanzkursen, teilzunehmen. Uns ist es sehr wichtig, dass die Kinder am sozialen Leben teilhaben können und Fertigkeiten für das spätere Leben erlernen.
Bei dem Projekt Kinderpatenschaften geht es vor allem um die Kinder, die in schwierigen Verhältnissen aufwachsen und leben müssen. Oft fehlt ein Elternteil, meistens der Vater, wodurch die Familien in finanzielle Not geraten.  Die meisten unserer Kinderpatenschaftseltern gehen einer Arbeit nach. Sie arbeiten z.B. als Näherin, als Fabrikarbeiter, als Reinigungskraft.  Auch diese Familien verdienen nicht genug Geld, um den Alltag zu bestreiten. Die Mieten in Varna steigen jedes Jahr kräftig. Zudem sind Nahrungsmittel in Relation zu den Einkünften sehr teuer.
Derzeit betreuen wir 25 Kinder in 13 Familien.
",,,,"['https://edelmut.org/wp-content/uploads/2022/01/20220107_125050_1.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/20220107_111322-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/20220107_111349-1024x576.jpg']",
Homann-Stiftung,"Kleine Reichenstraße 20 
 20457 Hamburg",https://www.homann-stiftung.de,'post'@'homann-stiftung.de',040322107,,"['Geldspende', 'Zustiftung', 'Investor']","
Die HOMANN-STIFTUNG engagiert sich

Als fördernde Stiftung setzen wir uns für benachteiligte Menschen ein – so wie es unser Stifter in der Satzung verfügt hat.
Wir unterstützen Organisationen und beteiligen uns an Projekten in Hamburg, die Menschen stark machen und ein gutes und lebendiges Miteinander fördern. Besonders haben wir alte Menschen und Jugendliche beim Übergang von der Schule in den Beruf im Blick. Informieren Sie sich über die Beispiele für unsere Förderpartnerschaften. Diese werden laufend aktualisiert.
Wir unterstützen auch einzelne Menschen, wenn sie sich in einer schwierigen Lebenslage befinden. Dazu haben wir mit der HAMBURGISCHEN BRÜCKE das Projekt der Stiftungs-Lots*innen initiiert.
","

Wir stoßen Projekte selbst an

Hamburger Bündnis für Wohnstifte
Hamburg ist die Hauptstadt der Wohnstifte. Sie bieten kostengünstigen Wohnraum, häufig in innerstädtischen Lagen, vielfach für ältere Menschen mit geringem Einkommen.
Gemeinsam mit der Patriotischen Gesellschaft von 1765 und STATTBAU Hamburg haben wir im Jahr 2014 „Perlen polieren. – die Initiative für den Erhalt und die Weiterentwicklung der Hamburger Wohnstifte“ gestartet. Seit 2019 haben diese sich gemeinsam auf den Weg gemacht und das Hamburger Bündnis für Wohnstifte gegründet. Das Bündnis macht sich dafür stark, die Wohnstifte zu erhalten, die soziale Wohnraumversorgung auszubauen und neue Ideen zu verwirklichen.
Musikpat*innen
Musik ist für Menschen mit Demenz viel mehr als ein kurzweiliger Zeitvertreib. Sie hilft Erinnern und bringt Freude. Musik ist Leben! 10 Jahre ist es her, dass die HOMANN-STIFTUNG das Begleitungsangebot für Menschen in ihrer dementiellen Lebensphase initiiert hat. Inzwischen erreichen die ehrenamtlichen Musikpaten (gut geschult und begleitet) in ca. 30 Einrichtungen mehr als 100 Menschen. Das gelingt in Kooperation mit der HAMBURGISCHEN BRÜCKE.
Stiftungs-Lots*innen
Persönliche Hilfsbedürftigkeit ist vielfältig und finanzielle Unterstützung allein ist oft nicht genug. Dieser Herausforderung begegnen wir mit dem fachlich und hauptamtlich koordinierten Einsatz von Ehrenamtlichen.
Gemeinsam mit der HAMBURGISCHEN BRÜCKE haben wir die STIFTUNGS-LOTS*INNEN ins Leben gerufen. Neben der finanziellen Unterstützung einzelner Menschen geht es um eine von Wertschätzung getragene Hilfestellung und menschliche Begegnung. Seit seinem Stapellauf 2011 hat das „Lotsenboot“ Fahrt aufgenommen und leistet inzwischen einen wichtigen Beitrag für eine solidarische Stadtgesellschaft. Weitere Stiftungen haben sich angeschlossen.

",,,"['https://edelmut.org/wp-content/uploads/2022/01/Homann-Stiftung-–-Vernetzung-unserer-Foerderpartnerinnen-bei-„Rueckenwind-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Homann-Stiftung-–-Feierliche-Auszeichnung-der-Musikpaten-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Homann-Stiftung-–-Musikpaten-im-Einsatz-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Homann-Stiftung-–-Rundgang-Pelen-Polieren-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Homann-Stiftung-–-Informationsveranstaltung-Perlen-Polieren-1024x576.jpg']",Watch the films here: https://edelmut.org/organisationen/homann-stiftung/#video
Michel-Stiftung,"Englische Planke 1 
 20459 Hamburg",https://www.michel-stiftung.de,'stiftung'@'st-michaelis.de',04037678117,,"['Geldspende', 'Zustiftung']","Der Michel hat in den Herzen der Hamburger und in den Herzen vieler Freunde in aller Welt einen besonderen Platz. Unter dem Motto Michel mein Michel und mit dem Herz im Logo möchte die Stiftung St. Michaelis dem Engagement dieser Menschen ein Zuhause geben. Denn ohne Spendenhilfe gäbe es den Michel, wie wir ihn kennen, nicht. Von 100 Euro im Michel-Budget stammen nur 15 Euro aus Kirchensteuermitteln. 85 Euro müssen aus Spenden, Kollekten und Eintrittsgeldern finanziert werden.
Gegründet wurde die Stiftung St.Michaelis 2002 von fünf Hamburger Bürgern und der Hamburger Sparkasse als selbstständige Stiftung bürgerlichen Rechts mit 75.000 Euro Stiftungskapital. Mit der Kampagne Michel mein Michel hat die Stiftung in den vergangenen fünfzehn Jahren mehr als fünf Millionen Euro Spenden eingeworben und so maßgeblich zum Erhalt des Michel beigetragen.
Für die Zukunft haben wir uns ein großes Ziel gesetzt. Wir wollen unseren Michel dauerhaft erhalten und mit Leben füllen. Dafür bitten wir um Spenden, Zustiftungen und Testamentsspenden. Mit, regelmäßigen Informationen und Einladungen in den Michel schaffen wir Anlässe und Raum für Ihr Engagement. Wer sich engagiert, gestaltet den Michel mit und gehört zur Stiftungsgemeinschaft, die sich jährlich in der Stiftungsversammlung trifft.
","
Kindern eine Stimme schenken



Proben der Michel-Mäuse sind vor allem eines: lebendig. Chorleiterin Linda Berg versteht es, die 6-8jährigen Sängerinnen und Sänger spielerisch an das gemeinsame Singen heranzuführen. Mit viel Bewegung leitet sie die Suche nach dem gemeinsamen Ton, das Artikulieren von Worten und Tonfolgen an und führt die Kinder zusammen. Denn neben der Ausbildung der Stimme und dem Einüben von Liedern für den nächsten Auftritt geht es vor allem darum, als Gruppe zusammenzufinden – musikalisch und menschlich.
Am Michel können Kinder mit Musik groß werden. Bereits im Kindergartenalter starten die ersten der sieben Chorgruppen, in denen mehr als 80 Kinder und Jugendliche sich wöchentlich treffen. In den ersten Jahren geht es vor allem darum, die Freude am Singen zu entdecken und die Stimme auszubilden. Auftritte in den Gottesdiensten und eigene Projekte der Singschule St. Michaelis fordern die Kinder heraus und sie wachsen mit jedem Auftritt. Je älter sie werden, desto anspruchsvoller werden die Projekte. Und am Ende gelingt vielleicht sogar der Sprung in den Erwachsenenchor des Michel.
Die Chorarbeit der Singschule St. Michaelis ist zu 70% spendenfinanziert. Die Eltern beteiligen sich mit einem monatlichen Chorbeitrag, der die Sachmittel finanziert. Für die Honorare der Chorleiterinnen und die Stimmbildung für die jungen Sängern müssen wir pro Jahr 28.000 Euro aufbringen sind wir auf Spenden angewiesen.
 


Stark machen für den „Jungen Michel“



Was ist Ihnen aus Ihrer eigenen Konfirmandenzeit besonders in Erinnerung geblieben? Vielleicht denken Sie an den feierlichen Konfirmationsgottesdienst, die schönen Unternehmungen oder die Gemeinschaft, die Sie vielleicht sogar bis heute trägt. Die Zeit bietet Jugendlichen die Möglichkeit, eigene Stärken zu entwickeln und Kirche aktiv mitzugestalten. Heute können leider immer weniger Kinder und Jugendliche etwas mit Kirche und Glauben anfangen. Nur jeder sechste Jugendliche lässt sich noch konfirmieren.
Eine wichtige Brücke zu den Jugendlichen sind die Teamer und Jugendgruppenleiter am Michel. Sie gestalten und verantworten den Konfirmandenunterricht, Freizeiten und Jugendgottesdienste. Und sind oft die wichtigsten Vertrauten für die Konfis bei Sorgen und Nöten. Mehr als 25 Teamer sind in der Michel-Jugendarbeit aktiv. Sie sind der „Junge Michel“: Untereinander leben sie eine Gemeinschaft, die ihnen viel bedeutet, sie prägt und wichtiger Teil der Gemeinde ist. Sie engagieren sich am Michel, weil sie diese Erfahrung weitergeben und andere Jugendliche für Glaube und Gemeinde begeistern möchten. Für die Jugendarbeit am Michel wenden wir pro Jahr 76.700 Euro auf. 10.000 Euro müssen wir davon aus Spenden decken, vor allem für die Ausbildung und Begleitung der Jugendgruppenleiter.
Unterstützen Sie das besondere Engagement unserer Jugendgruppenleiter mit einer Spende. Damit mehr junge Menschen am Michel eine Heimat und Gemeinschaft finden.



",,,"['https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Singschule-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Giessen-der-Glocken-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Hochziehen-der-Glocken-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-neue-Uhrschlag-Glocke-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-25-Jahre-Michel-Tafeln-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Das-Verlegen-der-Helmut-Schmidt-Gedenktafel-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Das-Salz-der-Erde-wird-gesegnet-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Das-Salz-der-Erde-wird-geliefert-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Salz-der-Erde-wir-aufgeschuettet-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Tafelsilber-wurde-gespendet-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Entwurf-der-neuen-Abendmahlskelche-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Das-Einschmelzen-des-Tafelsilbers-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Die-neuen-Abendmahlkelche-werden-geschmiedet-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Die-neuen-Abendmahlkelche-aus-Familiensilber-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Rettungsringe-fuer-den-Michel-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Die-Rettungsring-Aktion-1024x576.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Michel-Stiftung-–-Rettungsringmannschaft-1024x576.jpg']",Watch the films here: https://edelmut.org/organisationen/michel-stiftung/#video
ThemaTanz e.V.,"Behringstraße 28a 
 22765 Hamburg",https://www.thematanz.de,'info'@'thematanz.de',04041359595,,"['Geldspende', 'Zeitspende', 'Kooperation', 'Sponsor']","ThemaTanz e.V. heißt unser Verein und das ist auch unser Auftrag. Wir wollen den Tanz zu einem Thema für alle Menschen machen! Alle Menschen – das heißt für uns: Ob jemand eine Behinderung hat oder nicht, ob er in Deutschland geboren ist oder nicht, ob er alt oder jung, arm oder reich ist – das spielt keine Rolle! Der Tanz ist für alle da – genau wie unser Verein auch. „Mittendrin statt nur dabei“ ist eine schöne Beschreibung für das, was Inklusion möchte – und das möchte auch ThemaTanz!
Im Verein arbeiten Menschen mit und ohne Behinderung zusammen, die eines ganz besonders verbindet: die Liebe zum Tanz als Ausdrucksform. Unseren Verein haben wir im November 2016 in Hamburg gegründet – da ist auch heute noch unser Zuhause.
Wir haben eine Idee: wir wollen Kunst, Kultur und Hilfe für behinderte Menschen zusammendenken. Diese Idee wollen wir umsetzten, indem wir:

Zusammen Dinge unternehmen, die zur Verbesserung des gleichberechtigten Zusammenlebens von Menschen mit und ohne Behinderung beitragen (z.B. durch inklusive Tanz- und Theaterangebote)
Mit Projekten, Organisationen, Gruppen und Einzelpersonen zusammenarbeiten, die Vielfalt genauso toll finden, wie wir (z.B. durch Fachtagungen und Projekte im Bereich inklusiver Tanz)
Menschen mit Behinderungen dabei unterstützen, ein sttärkeres Selbstbewustsein zu entwickeln, insbesondere durch Veranstaltungen und Präsentationen (z.B. durch Aufführungen oder Selbstbehauptungskurse)
inklusive Tanz- und Trainingsgruppen im Bereich Musik, Theater und Tanz ebenso aufbauen und fördern wie inklusive Tanztheaterstücke mit Künstler/innen mit und ohne Behinderung
das Zusammenleben und das gegenseitige Verstehen von Menschen mit und ohne Behinderung verbessern. Das erreichen wir unter anderem durch Veröffentlichungen und Fortbildungen z.B. im Bereich inklusiver Tanz
wir uns für Barrierefreiheit einsetzen, so dass niemand außen vor bleiben muss (z.B. bei Kulturveranstaltungen, die gemeinsam von Menschen mit und ohne Behinderung organisiert, durchgeführt und erlebt werden. Als Gäste vor der Bühne, als Künstler*innen auf der Bühne und in der Organisation der Veranstaltung hinter der Bühne.)

","Wir mischen uns ein!
Tanzen heißt für uns auch „aus der Reihe tanzen“. Daher engagieren wir uns auch politisch, um die Verhältnisse zum Tanzen zu bringen.
Unser Projekt „Wir mischen uns ein!“ unterstützte drei Menschen mit Lernschwierigkeiten dabei, sich auf die Inklusionstage des Bundesministeriums für Arbeit und Soziales 2019 vorzubereiten, daran teilzunehmen und die Ergebnisse mit anderen zu teilen. Die Inklusionstage in Berlin haben sich im Laufe der Jahre zum Dreh- und Angelpunkt der Diskussion um ein inklusives Zusammenleben entwickelt.
Mit der Unterstützung unseres Projekts konnten die Teilnehmenden eigene Meinungen und Positionen entwickeln und diese bei der Veranstaltung auch öffentlich zu vertreten. Das erworbene Wissen auf den Inklusionstagen wurde von uns gemeinsam aufgearbeitet und in Gremien der Selbstvertretung in den Wohn- und Arbeitsumfeldern der Personen vermittelt sowie darüber hinaus in die eigene Fachöffentlichkeit getragen.
Wir glauben: Eine nachhaltige Wirkung der Inklusionstage ist nur durch die Bekanntgabe des erworbenen Wissens durch Veröffentlichungen auf Internet- und Intranetseiten in Leichter Sprache, sowie in Protokollen z.B. von Werkstatträten oder Wohnbeiräten möglich.
Das Vorhaben „Wir mischen uns ein! “ war ein Beitrag zu echter Partizipation – ganz nach dem Motto: „Nichts über uns ohne uns!“
",,,"['https://edelmut.org/wp-content/uploads/2022/01/AnMut-Truppe-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Christian-Silke-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Alex-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Bente-Lennart-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Roman-Doro-1024x682.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/Chfristian-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/AnMut-Kaefige-1024x683.jpg', 'https://edelmut.org/wp-content/uploads/2022/01/AnMut-Tanz-1024x683.jpg']",Watch the films here: https://edelmut.org/organisationen/thematanz-e-v/#video
Bildungsgabe e.V.,"20 Berner Straße 
 60437 Frankfurt am Main",https://www.bildungsgabe.de/,,+49061449550045,,,"BILDUNGSGABE ist ein gemeinnützig anerkannter Verein und hat sich zum Ziel gesetzt, Menschen in bedürftigen Lebenslagen zu helfen. Jeder Mensch soll ein gleichberechtigter Zugang zu allen lebensnotwendigen Ressourcen haben, insbesondere zur Bildung und Digitalisierung!
BILDUNGSGABE hat sich im Rahmen der Pandemie im Jahr 2020 gegründet und legt den Fokus explizit auf Bildungsarbeit für sozial benachteiligte Kinder und Jugendliche, die unter Corona-Bedingungen besonders zu leiden haben.
BILDUNGSGABE arbeitet mit Schulen, Jugendämtern und Kinder- und Jugendeinrichtungen zusammen, um gemeinsame Projekte und digitale Angebote zu gestalten und den Alltag der Menschen sichtbar zu erleichtern.
„Bildung ist der Schlüssel zum Erfolg, um den Teufelskreis der Armut zu durchbrechen.”
",,,,['https://edelmut.org/wp-content/uploads/2021/08/Projekt_Bild1.jpg'],
Aktion Baum,"3 Christoph-Probst-Weg 
 20251 Hamburg",https://www.aktion-baum.org/,'info'@'aktion-baum.org',+49040238307010,,"['Geldspende', 'Zeitspende']","Warum wir tun, was wir tun
Wir sind ein hochmotiviertes Team, das fest daran glaubt, dass dieser Planet eine bessere Zukunft verdient hat. Für uns, unsere Mitmenschen und unsere Nachfahren.
Anstatt weiter zuzuschauen, sind wir aktiv geworden. Heute setzen wir unsere Erfahrungen und unsere Kenntnisse aus Wissenschaft und Wirtschaft dafür ein, effiziente, nachhaltige Lösungen für gesunde Wälder zu liefern und den Klimawandel zu bekämpfen.
Wir freuen uns auf und über Jeden, der unsere Vision teilt und uns bei unser Mission unterstützt.
NON-PROFIT ORGANISATION
Unsere Gewinne gibt es gar nicht
Sie fragen sich vielleicht, was eine gGmbh ist? Durch das kleine “g” sind wir gemeinnützig. Das heißt wir erwirtschaften keine Gewinne. Alle Überschüsse am Jahresende werden gespendet oder im darauf-folgenden Jahr in Baumpflanzprojekte investiert.
Unsere Spendenpartner erhalten für Ihre Unterstützung eine Spendenquittung, die steuerlich geltend gemacht werden kann.
","1) FORSCHUNG
Das Heimat.Wald Konzept - Der Wald der Zukunft
Nicht jeder Baum passt an jede Stelle und nicht jede Fläche eignet sich für eine sinnvolle Aufforstung. Um sicherzustellen, dass wir möglichst vieles gut und richtig machen, sind wir in engem Austausch mit führenden Wissenschaftlern und Baum-Experten. Wir schauen mit einem klarem Blick darauf, wie ein biodiverser Wald in einer gesunden Balance mit Mensch und Umwelt zukünftig aussehen kann. Unser Ziel mit unserem Heimat.Wald Konzept ist nichts anderes als den Wald der Zukunft zu erschaffen.
2) EIGENE WERTSCHÖPFUNGSKETTE
Für eine nachhaltige, gemeinnützige Pflanzindustrie
Das Aufforsten von regionalen, biodiversen Wäldern ist in Deutschland und Europa unverhältnismäßig teuer. Unser Ziel ist es, im Schulterschluss mit Politik und Privatwirtschaft eine gemeinnützige Pflanzindustrie für Bäume zu schaffen, von denen alle profitieren. Angefangen bei der Samengewinnung über die Setzlingszucht bis hin zum späteren Pflanzprozess werden wir drastische Kostenreduzierungen realisieren. Das alles mit dem einfachen Ziel, günstiger mehr Bäume pflanzen zu können.
3) BÄUME PFLANZEN
Gute Bäume an den passenden Orten pflanzen
Die grüne Klammer um alle unsere vier Aktionsgebiete ist das Pflanzen der Bäume. Unsere Experten aus der Wissenschaft bewerten sorgfältig, welche regionalen Besonderheiten dabei zu beachten sind. Ebenso prüfen sie auch externe Partnerorganisationen, mit denen wir gemeinsam unsere Ziele noch schneller erreichen können. Über unsere Spendenpartner, Firmenevents und Schulinitiativen ermöglichen wir auch Pflanzerlebnisse zum Anfassen und Weitererzählen. Somit profitieren alle gemeinsam von diesem Engagement.
4) BILDUNG & AUFKLÄRUNG
Menschen begeistern & sensibilisieren
Uns ist völlig klar, dass wir ambitionierte Visionen verfolgen. Das alles ist mittel- und langfristig nur erreichbar, wenn bereits die Kleinsten den Wald zu schätzen wissen. Auch viele Jugendliche und Erwachsene haben kaum noch einen echten Bezug zur Natur und unseren Wäldern. Durch Erleben und Begeistern werden wir das Thema Wald in Theorie und Praxis in Kitas, Schulen und Unternehmen bringen. Das kann ein Waldtag für Unternehmen, der Pflanzführerschein für Grundschüler oder die Unterstützung von Projekten für die Oberstufe sein. Nur wer den Wald erlebt, lernt ihn zu lieben und zu schützen.
",,,['https://edelmut.org/wp-content/uploads/2021/04/investment-5241253-1024x683.jpg'],Watch the films here: https://edelmut.org/organisationen/aktion-baum/#video
Deutsche Muskelschwund-Hilfe e.V.,"Alstertor 20 
 20095 Hamburg",https://www.muskelschwund.de,,0403232310,,,"In Deutschland gibt es rund 300.000 Menschen mit einer unheilbaren neuromuskulären Erkrankung. Die gut 600 verschiedenen Erkrankungsformen haben als gemeinsames Merkmal den kontinuierlichen Abbau der Muskulatur. Dieser Muskelabbau hat zur Folge hat, dass die Betroffenen je nach Erkrankungsstadium zum Pflegefall werden und rund um die Uhr auf die Unterstützung anderer Menschen angewiesen sind.
Da wir selbst von Muskelschwund betroffen sind, wissen wir, wovon wir reden. Wir kennen die Schattenseiten, wissen aber auch, dass trotz der Diagnose ein glückliches und erfülltes Leben möglich ist.
Als gemeinnützige Patientenorganisation unterstützen wir die Betroffenen und ihre Familien bei der Verarbeitung der Diagnose und beraten sie im Hinblick auf Hilfsmittel, Rehabilitation, medizinische und therapeutische Behandlung, Pflegeversicherung und Behörden, aber auch in Bezug auf Selbstbestimmung und Teilhabe. Darüber hinaus helfen wir bei Antrags- und Widerspruchsverfahren, um Ihnen zu ihren Rechten zu verhelfen.
Speziell in Hamburg können Betroffene unseren kostenfreien Fahrdienst nutzen, der sie schnell und sicher von A nach B bringt. Muskelkranke Kinder erhalten von uns eine Schulassistenz, die sie im Alltag unterstützt und so die Teilhabe in der Schule deutlich erleichtert und zum Teil erst möglich macht. In den von uns geleiteten Selbsthilfegruppen erfahren die Familien eine enge Gemeinschaft. Es werden neue Kontakte geknüpft, man tauscht sich aus und unterstützt sich gegenseitig.
Auch die medizinische Forschung spielt bei uns eine wichtige Rolle, denn nur wenn intensiv geforscht wird, kann es eines Tages Therapien geben, die die Erkrankung aufhalten und im besten Fall sogar heilen können. Mit Hilfe von Spendengeldern forcieren wir die medizinische Forschung, damit eines Tages aus „unheilbar“ „heilbar“ wird.
",,,,"['https://edelmut.org/wp-content/uploads/2021/02/DMH_Fahrdienst_2.jpg', 'https://edelmut.org/wp-content/uploads/2021/02/Jule-Maje-2-1024x815.jpg', 'https://edelmut.org/wp-content/uploads/2021/02/Image-JP-1024x768.jpg']",
